--- DIAGNOSING FOLDER LOCK ON: C:\Users\user\AppData\Local\Programs\Study Tracker ---
Current Time: 2026-05-28 01:51:53
FAIL: Folder is locked. Error: The process cannot access the file because it is being used by another process.

--- ALL RUNNING PROCESSES ---
PID: 43252 | Name: Adobe Crash Processor | Company: Adobe Inc. | Path: C:\Program Files\Adobe\Adobe Creative Cloud Experience\js\node_modules\adobe-cr\build\Release\Adobe Crash Processor.exe
PID: 13760 | Name: CrossDeviceService | Company: Microsoft Corporation | Path: C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26032.83.0_x64__cw5n1h2txyewy\CrossDeviceService.exe
PID: 712 | Name: csrss | Company:  | Path: 
PID: 1116 | Name: csrss | Company:  | Path: 
PID: 17772 | Name: ctfmon | Company:  | Path: 
PID: 4760 | Name: dasHost | Company:  | Path: 
PID: 7904 | Name: DataCollectionAgentController | Company: Seiko Epson Corporation | Path: C:\Program Files\epson\Epson Data Collection Agent\DataCollectionAgentController.exe
PID: 24376 | Name: DataExchangeHost | Company: Microsoft Corporation | Path: C:\Windows\System32\DataExchangeHost.exe
PID: 4852 | Name: DAX3API | Company:  | Path: 
PID: 13468 | Name: DAX3API | Company:  | Path: 
PID: 4868 | Name: DCAgent | Company:  | Path: 
PID: 56148 | Name: devcpp | Company: Embarcadero Technologies, Inc. | Path: C:\Program Files (x86)\Embarcadero\Dev-Cpp\devcpp.exe
PID: 54232 | Name: DismHost | Company:  | Path: 
PID: 12680 | Name: dllhost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\DllHost.exe
PID: 17308 | Name: dllhost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\DllHost.exe
PID: 20604 | Name: dllhost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\DllHost.exe
PID: 32360 | Name: dllhost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\DllHost.exe
PID: 32536 | Name: dllhost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\DllHost.exe
PID: 34944 | Name: dllhost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\DllHost.exe
PID: 37324 | Name: dllhost | Company:  | Path: 
PID: 41280 | Name: dllhost | Company: Microsoft Corporation | Path: C:\WINDOWS\system32\DllHost.exe
PID: 48312 | Name: DS4Windows | Company: Ryochan7 | Path: C:\Users\user\OneDrive\Attachments\Desktop\DS4Windows\DS4Windows.exe
PID: 4940 | Name: DSAService | Company:  | Path: 
PID: 21332 | Name: DSATray | Company: Intel | Path: C:\Program Files (x86)\Intel\Driver and Support Assistant\x86\DSATray.exe
PID: 4896 | Name: DSAUpdateService | Company:  | Path: 
PID: 23064 | Name: dwm | Company:  | Path: 
PID: 13584 | Name: E_YATIUNE | Company: Seiko Epson Corporation | Path: C:\Windows\System32\spool\drivers\x64\3\E_YATIUNE.EXE
PID: 14472 | Name: E_YATIYXE | Company: Seiko Epson Corporation | Path: C:\Windows\System32\spool\drivers\x64\3\E_YATIYXE.EXE
PID: 17332 | Name: EdgeGameAssist | Company:  | Path: C:\Program Files\WindowsApps\Microsoft.Edge.GameAssist_1.0.3590.0_x64__8wekyb3d8bbwe\EdgeGameAssist.exe
PID: 23524 | Name: EEventManager | Company: Seiko Epson Corporation | Path: C:\Program Files (x86)\EPSON Software\Event Manager\EEventManager.exe
PID: 4880 | Name: EPCP | Company:  | Path: 
PID: 22132 | Name: EPPCCMON | Company: Seiko Epson Corporation | Path: C:\Program Files (x86)\EPSON Software\Epson Printer Connection Checker\EPPCCMON.EXE
PID: 4888 | Name: EpSecuritySupport | Company:  | Path: 
PID: 4956 | Name: escsvc64 | Company:  | Path: 
PID: 21652 | Name: esrv | Company:  | Path: C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv.exe
PID: 39952 | Name: esrv | Company:  | Path: C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv.exe
PID: 55596 | Name: esrv | Company:  | Path: C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv.exe
PID: 54280 | Name: esrv_svc | Company:  | Path: 
PID: 51720 | Name: explorer | Company: Microsoft Corporation | Path: C:\WINDOWS\Explorer.EXE
PID: 11768 | Name: FileCoAuth | Company: Microsoft Corporation | Path: C:\Program Files\Microsoft OneDrive\26.084.0504.0007\FileCoAuth.exe
PID: 51196 | Name: FileSyncHelper | Company:  | Path: 
PID: 4924 | Name: filezilla-server | Company:  | Path: 
PID: 1456 | Name: fontdrvhost | Company:  | Path: 
PID: 1464 | Name: fontdrvhost | Company:  | Path: 
PID: 4932 | Name: GameInputRedistService | Company:  | Path: 
PID: 11720 | Name: GameInputRedistService | Company: Windows (R) Win 7 DDK provider | Path: C:\Program Files\Microsoft GameInput\x64\GameInputRedistService.exe
PID: 20520 | Name: GameInputSvc | Company:  | Path: 
PID: 21492 | Name: GameInputSvc | Company:  | Path: 
PID: 9968 | Name: gamingservices | Company:  | Path: 
PID: 9976 | Name: gamingservicesnet | Company:  | Path: 
PID: 5000 | Name: GoodixWOTService_0.0.0.4 | Company:  | Path: 
PID: 50848 | Name: GooglePlayGamesServices | Company:  | Path: 
PID: 40916 | Name: httpd | Company: Apache Software Foundation | Path: C:\xampp\apache\bin\httpd.exe
PID: 48760 | Name: httpd | Company: Apache Software Foundation | Path: c:\xampp\apache\bin\httpd.exe
PID: 17636 | Name: ICPS | Company: Intel | Path: C:\Program Files\WindowsApps\AppUp.IntelConnectivityPerformanceSuite_50.26.220.0_x64__8j3eq9eme6ctt\ICPS.exe
PID: 4764 | Name: IDBWM | Company: IntelÂ® Corporation | Path: C:\WINDOWS\System32\drivers\Intel\ICPS\IDBWM.exe
PID: 23176 | Name: IDBWM | Company:  | Path: 
PID: 13092 | Name: IDBWMService | Company:  | Path: 
PID: 0 | Name: Idle | Company:  | Path: 
PID: 8264 | Name: Intel_PIE_Service | Company:  | Path: 
PID: 19816 | Name: IntelAnalyticsService | Company:  | Path: 
PID: 3884 | Name: IntelAudioService | Company:  | Path: 
PID: 23016 | Name: IntelConnect | Company:  | Path: 
PID: 16776 | Name: IntelConnectivityNetworkService | Company:  | Path: 
PID: 18072 | Name: IntelConnectService | Company:  | Path: 
PID: 2652 | Name: IntelCpHDCPSvc | Company:  | Path: 
PID: 22976 | Name: IntelGraphicsSoftware | Company: Intel Corporation | Path: C:\Program Files\Intel\Intel Graphics Software\IntelGraphicsSoftware.exe
PID: 3860 | Name: IntelGraphicsSoftware.Service | Company:  | Path: 
PID: 19444 | Name: IntelProviderDataHelperService | Company:  | Path: 
PID: 5452 | Name: ipf_uf | Company:  | Path: 
PID: 4984 | Name: ipfsvc | Company:  | Path: 
PID: 20568 | Name: iveDeviceCareEngine | Company:  | Path: 
PID: 5512 | Name: iveService | Company:  | Path: 
PID: 4572 | Name: jhi_service | Company:  | Path: 
PID: 41388 | Name: LockApp | Company: Microsoft Corporation | Path: C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe
PID: 1300 | Name: lsass | Company:  | Path: 
PID: 5212 | Name: MaximServiceShell64 | Company:  | Path: 
PID: 3876 | Name: Memory Compression | Company:  | Path: 
PID: 20464 | Name: MidiSrv | Company:  | Path: 
PID: 4860 | Name: MigrationService | Company:  | Path: 
PID: 5228 | Name: MpDefenderCoreService | Company:  | Path: 
PID: 7888 | Name: mscopilot | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe
PID: 17860 | Name: mscopilot | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe
PID: 18700 | Name: mscopilot | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe
PID: 21688 | Name: mscopilot | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe
PID: 22648 | Name: mscopilot | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe
PID: 22652 | Name: mscopilot | Company: Microsoft Corporation | Path: C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe
